arm,step,split,successes,tasks,success_rate,training_response_tokens
l1,25,valid_seen,61,140,0.4357142857142857,171.73841857910156
l1,25,valid_unseen,51,134,0.3805970149253731,171.73841857910156
l1,50,valid_seen,60,140,0.42857142857142855,166.6026153564453
l1,50,valid_unseen,54,134,0.40298507462686567,166.6026153564453
l1,75,valid_seen,64,140,0.45714285714285713,165.04937744140625
l1,75,valid_unseen,55,134,0.41044776119402987,165.04937744140625
l1,100,valid_seen,62,140,0.44285714285714284,164.78717041015625
l1,100,valid_unseen,52,134,0.3880597014925373,164.78717041015625
l1,125,valid_seen,61,140,0.4357142857142857,166.46353149414062
l1,125,valid_unseen,59,134,0.44029850746268656,166.46353149414062
l1,150,valid_seen,64,140,0.45714285714285713,166.817626953125
l1,150,valid_unseen,59,134,0.44029850746268656,166.817626953125
l3,25,valid_seen,59,140,0.42142857142857143,178.8112335205078
l3,25,valid_unseen,49,134,0.3656716417910448,178.8112335205078
l3,50,valid_seen,62,140,0.44285714285714284,169.67686462402344
l3,50,valid_unseen,56,134,0.417910447761194,169.67686462402344
